           4.00            0.64           4.096 -1.3989313121342
           4.00            0.64          16.384 2.7978622938792
           4.00            0.64          65.536 -5.5957249181510
           4.00            0.64         262.144 11.1914495059209
           4.00            0.64        1048.576 -22.3828993422387
           4.00            1.28           0.001 -0.0168305799338
           4.00            1.28           0.004 -0.0336610592803
           4.00            1.28           0.016 -0.0673220179735
           4.00            1.28           0.064 -0.1346439353599
           4.00            1.28           0.256 0.2692875689590
           4.00            1.28           1.024 0.5385752385048
           4.00            1.28           4.096 1.0771505775965
           4.00            1.28          16.384 -2.1543014569541
           4.00            1.28          65.536 4.3086026121485
           4.00            1.28         262.144 -8.6172055260419
           4.00            1.28        1048.576 -17.2344109515546
           4.00            2.56           0.001 0.0125993031492
           4.00            2.56           0.004 0.0251987016600
           4.00            2.56           0.016 0.0503974986820
           4.00            2.56           0.064 0.1007950927261
           4.00            2.56           0.256 0.2015902808144
           4.00            2.56           1.024 0.4031806569909
           4.00            2.56           4.096 0.8063614093439
           4.00            2.56          16.384 1.6127229140501
           4.00            2.56          65.536 3.2254459234623
           4.00            2.56         262.144 6.4508919422865
           4.00            2.56        1048.576 -12.9017841706593
           4.00            5.12           0.001 0.0092481529768
           4.00            5.12           0.004 -0.0184965831672
           4.00            5.12           0.016 -0.0369930739294
           4.00            5.12           0.064 0.0739858706446
           4.00            5.12           0.256 0.1479718336938
           4.00            5.12           1.024 0.2959437597923
           4.00            5.12           4.096 0.5918876119892
           4.00            5.12          16.384 1.1837753163832
           4.00            5.12          65.536 -2.3675509099809
           4.00            5.12         262.144 4.7351015427497
           4.00            5.12        1048.576 -9.4702033627405
           4.00           10.24           0.001 0.0066991029769
           4.00           10.24           0.004 0.0133982966334
           4.00           10.24           0.016 -0.0267968653069
           4.00           10.24           0.064 -0.0535936399335
           4.00           10.24           0.256 -0.1071871891867
           4.00           10.24           1.024 -0.2143742876933
           4.00           10.24           4.096 0.4287483033466
           4.00           10.24          16.384 -0.8574968787315
           4.00           10.24          65.536 -1.7149936667896
           4.00           10.24         262.144 -3.4299872429054
           4.00           10.24        1048.576 -6.8599743954255
           8.00            0.01           0.001 0.0509164407020
           8.00            0.01           0.004 -0.1018379266373
           8.00            0.01           0.016 -0.2036741709577
           8.00            0.01           0.064 0.4073432958238
           8.00            0.01           0.256 0.8146882735350
           8.00            0.01           1.024 1.6293782290003
           8.00            0.01           4.096 -3.2587615038987
           8.00            0.01          16.384 -6.5175213258135
           8.00            0.01          65.536 -13.0350409696479
           8.00            0.01         262.144 -26.0700802573168
           8.00            0.01        1048.576 52.1401554687439
           8.00            0.02           0.001 -0.0544818714622
           8.00            0.02           0.004 -0.1089624539224
           8.00            0.02           0.016 -0.2179236190049
           8.00            0.02           0.064 -0.4358459492508
           8.00            0.02           0.256 -0.8716906097831
           8.00            0.02           1.024 -1.7433799308677
           8.00            0.02           4.096 -3.4867585730471
           8.00            0.02          16.384 -6.9735158574111
           8.00            0.02          65.536 -13.9470304261417
           8.00            0.02         262.144 -27.8940595636045
           8.00            0.02        1048.576 -55.7881178385269
           8.00            0.04           0.001 -0.0517957303132
           8.00            0.04           0.004 -0.1035905647965
           8.00            0.04           0.016 -0.2071802338191
           8.00            0.04           0.064 -0.4143595718921
           8.00            0.04           0.256 -0.8287182480520
           8.00            0.04           1.024 -1.6574356003788
           8.00            0.04           4.096 -3.3148703050360
           8.00            0.04          16.384 -6.6297397143523
           8.00            0.04          65.536 -13.2594785329855
           8.00            0.04         262.144 -26.5189561702498
           8.00            0.04        1048.576 -53.0379114447649
           8.00            0.08           0.001 -0.0459930979157
           8.00            0.08           0.004 -0.0919855489665
           8.00            0.08           0.016 -0.1839704510860
           8.00            0.08           0.064 -0.3679402553341
           8.00            0.08           0.256 -0.7358798638347
           8.00            0.08           1.024 -1.4717590808381
